gene,gene name,ensembl ID,entrez ID,chromosome,genetic category,gene score,ASD risk group,number of reports,hgnc_symbol
CNOT3,CCR4-NOT transcription complex subunit 3,ENSG00000088038,4849,19,"Rare Single Gene Mutation, Syndromic",1,ASD core,18,CNOT3
CNR1,cannabinoid receptor 1 (brain),ENSG00000118432,1268,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,8,CNR1
CNTN3,contactin 3,ENSG00000113805,5067,3,Rare Single Gene Mutation,2,ASD core,6,CNTN3
CNTN4,contactin 4,ENSG00000144619,152330,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,27,CNTN4
CNTN5,Contactin 5,ENSG00000149972,53942,11,"Rare Single Gene Mutation, Genetic Association",2,ASD core,11,CNTN5
CNTN6,Contactin 6,ENSG00000134115,27255,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,17,CNTN6
CNTNAP2,contactin associated protein-like 2,ENSG00000174469,26047,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,95,CNTNAP2
CDH22,cadherin-like 22,ENSG00000149654,64405,20,Genetic Association,2,ASD core,4,CDH22
CLIP2,CAP-Gly domain containing linker protein 2,ENSG00000106665,7461,7,Genetic Association,3,ASD associated,1,CLIP2
CNTNAP3,contactin associated protein-like 3,ENSG00000106714,79937,9,"Rare Single Gene Mutation, Functional",2,ASD core,7,CNTNAP3
CNTNAP4,Contactin associated protein-like 4,ENSG00000152910,85445,16,"Rare Single Gene Mutation, Functional",2,ASD core,15,CNTNAP4
CNTNAP5,contactin associated protein-like 5,ENSG00000155052,129684,2,"Rare Single Gene Mutation, Genetic Association",2,ASD core,16,CNTNAP5
COL28A1,collagen type XXVIII alpha 1 chain,ENSG00000215018,340267,7,Rare Single Gene Mutation,2,ASD core,5,COL28A1
CORO1A,coronin 1A,ENSG00000102879,11151,16,Rare Single Gene Mutation,1,ASD core,3,CORO1A
CPEB4,cytoplasmic polyadenylation element binding protein 4,ENSG00000113742,80315,5,"Rare Single Gene Mutation, Functional",2,ASD core,3,CPEB4
CPSF7,cleavage and polyadenylation specific factor 7,ENSG00000149532,79869,11,Rare Single Gene Mutation,1,ASD core,7,CPSF7
CPT2,carnitine palmitoyltransferase 2,ENSG00000157184,1376,1,Rare Single Gene Mutation,2,ASD core,4,CPT2
CPZ,carboxypeptidase Z,ENSG00000109625,8532,4,Rare Single Gene Mutation,2,ASD core,5,CPZ
CREBBP,CREB binding protein,ENSG00000005339,1387,16,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,ASD core,37,CREBBP
CSDE1,cold shock domain containing E1,ENSG00000009307,7812,1,"Rare Single Gene Mutation, Syndromic",1,ASD core,6,CSDE1
CSMD1,CUB and Sushi multiple domains 1,ENSG00000183117,64478,8,"Rare Single Gene Mutation, Genetic Association",2,ASD core,19,CSMD1
CSMD3,CUB and Sushi multiple domains 3,ENSG00000164796,114788,8,"Rare Single Gene Mutation, Functional",3,ASD associated,10,CSMD3
CSNK1E,casein kinase 1 epsilon,ENSG00000213923,1454,22,"Rare Single Gene Mutation, Functional",2,ASD core,8,CSNK1E
CSNK1G1,casein kinase 1 gamma 1,ENSG00000169118,53944,15,"Rare Single Gene Mutation, Syndromic",3,ASD associated,3,CSNK1G1
CSNK2A1,casein kinase 2 alpha 1,ENSG00000101266,1457,20,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,16,CSNK2A1
CSNK2B,casein kinase 2 beta,ENSG00000204435,1460,6,"Rare Single Gene Mutation, Syndromic",S,ASD associated,11,CSNK2B
CTCF,CCCTC-binding factor,ENSG00000102974,10664,16,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,24,CTCF
CTNNA2,catenin alpha 2,ENSG00000066032,1496,2,"Rare Single Gene Mutation, Syndromic",S,ASD associated,5,CTNNA2
CTNNA3,"catenin (cadherin-associated protein), alpha 3",ENSG00000183230,29119,10,"Rare Single Gene Mutation, Genetic Association",2,ASD core,19,CTNNA3
CTNNB1,catenin beta 1,ENSG00000168036,1499,3,"Rare Single Gene Mutation, Syndromic",1,ASD core,36,CTNNB1
CTNND2,"Catenin (cadherin-associated protein), delta 2",ENSG00000169862,1501,5,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,14,CTNND2
CTR9,"CTR9homolog, Paf1/RNA polymerase II complex component",ENSG00000198730,9646,11,"Rare Single Gene Mutation, Syndromic",3,ASD associated,9,CTR9
CTTNBP2,cortactin binding protein 2,ENSG00000077063,83992,7,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,15,CTTNBP2
CUL3,Cullin 3,ENSG00000036257,8452,2,"Rare Single Gene Mutation, Genetic Association, Functional",1,ASD core,34,CUL3
CUL7,Cullin 7,ENSG00000044090,9820,6,Rare Single Gene Mutation,2,ASD core,8,CUL7
CUX1,cut like homeobox 1,ENSG00000257923,1523,7,"Rare Single Gene Mutation, Functional",2,ASD core,14,CUX1
CUX2,cut like homeobox 2,ENSG00000111249,23316,12,"Rare Single Gene Mutation, Syndromic",2,ASD core,13,CUX2
CX3CR1,Chemokine (C-X3-C motif) receptor 1,ENSG00000168329,1524,3,"Rare Single Gene Mutation, Functional",2,ASD core,4,CX3CR1
CYFIP1,cytoplasmic FMR1 interacting protein 1,ENSG00000273749,23191,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,21,CYFIP1
CYLC2,"cylicin, basic protein of sperm head cytoskeleton 2",ENSG00000155833,1539,9,Rare Single Gene Mutation,2,ASD core,4,CYLC2
CYP27A1,cytochrome P450 family 27 subfamily A member 1,ENSG00000135929,1593,2,"Rare Single Gene Mutation, Syndromic",S,ASD associated,6,CYP27A1
DAGLA,diacylglycerol lipase alpha,ENSG00000134780,747,11,"Rare Single Gene Mutation, Functional",2,ASD core,7,DAGLA
DAPP1,Dual adaptor of phosphotyrosine and 3-phosphoinositides,ENSG00000070190,27071,4,Rare Single Gene Mutation,2,ASD core,3,DAPP1
DCC,DCCnetrin 1 receptor,ENSG00000187323,1630,18,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,DCC
DDC,dopa decarboxylase,ENSG00000132437,1644,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,DDC
DDHD2,DDHD domain containing 2,ENSG00000085788,23259,8,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,6,DDHD2
DDX23,DEAD-box helicase 23,ENSG00000174243,9416,12,"Rare Single Gene Mutation, Syndromic",S,ASD associated,2,DDX23
DDX3X,"DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked",ENSG00000215301,1654,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,48,DDX3X
DDX53,DEAD (Asp-Glu-Ala-Asp) box polypeptide 53,ENSG00000184735,168400,X,Rare Single Gene Mutation,2,ASD core,5,DDX53
DEAF1,DEAF1 transcription factor,ENSG00000177030,10522,11,"Rare Single Gene Mutation, Syndromic",1,ASD core,29,DEAF1
DENR,density-regulated protein,ENSG00000139726,8562,12,"Rare Single Gene Mutation, Functional",2,ASD core,4,DENR
DEPDC5,DEP domain containing 5,ENSG00000100150,9681,22,"Rare Single Gene Mutation, Syndromic",S,ASD associated,20,DEPDC5
DGKI,diacylglycerol kinase iota,ENSG00000157680,9162,7,"Rare Single Gene Mutation, Genetic Association",3,ASD associated,4,DGKI
DHCR7,7-dehydrocholesterol reductase,ENSG00000172893,1717,11,"Rare Single Gene Mutation, Syndromic",1,ASD core,19,DHCR7
DHX30,DExH-box helicase 30,ENSG00000132153,22907,3,"Rare Single Gene Mutation, Syndromic",S,ASD associated,10,DHX30
DHX9,DExH-box helicase 9,ENSG00000135829,1660,1,"Rare Single Gene Mutation, Syndromic",3,ASD associated,5,DHX9
DIP2A,DIP2 disco-interacting protein 2 homolog A (Drosophila),ENSG00000160305,23181,21,"Rare Single Gene Mutation, Functional",1,ASD core,13,DIP2A
DIP2C,disco interacting protein 2 homolog C,ENSG00000151240,22982,10,Rare Single Gene Mutation,2,ASD core,5,DIP2C
DIPK2A,divergent protein kinase domain 2A,ENSG00000181744,205428,3,Rare Single Gene Mutation,2,ASD core,3,DIPK2A
DISC1,disrupted in schizophrenia 1,ENSG00000162946,27185,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,37,DISC1
DIXDC1,DIX domain containing 1,ENSG00000150764,85458,11,"Rare Single Gene Mutation, Functional",2,ASD core,6,DIXDC1
DLG1,discs large MAGUK scaffold protein 1,ENSG00000075711,1739,3,Rare Single Gene Mutation,2,ASD core,6,DLG1
DLG2,discs large MAGUK scaffold protein 2,ENSG00000150672,1740,11,"Rare Single Gene Mutation, Functional",2,ASD core,12,DLG2
DLG4,discs large MAGUK scaffold protein 4,ENSG00000132535,1742,17,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,23,DLG4
DLGAP1,DLG associated protein 1,ENSG00000170579,9229,18,"Rare Single Gene Mutation, Functional",2,ASD core,13,DLGAP1
DLGAP2,"discs, large (Drosophila) homolog-associated protein 2",ENSG00000198010,9228,8,Rare Single Gene Mutation,2,ASD core,18,DLGAP2
DLGAP3,DLG associated protein 3,ENSG00000116544,58512,1,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,12,DLGAP3
DLL1,delta like canonical Notch ligand 1,ENSG00000198719,28514,6,"Rare Single Gene Mutation, Syndromic",2,ASD core,6,DLL1
DLX3,distal-less homeobox 3,ENSG00000064195,1747,17,Rare Single Gene Mutation,2,ASD core,4,DLX3
DLX6,distal-less homeobox 6,ENSG00000006377,1750,7,Rare Single Gene Mutation,2,ASD core,10,DLX6
DMD,"dystrophin (muscular dystrophy, Duchenne and Becker types)",ENSG00000198947,1756,X,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,ASD associated,43,DMD
DMPK,dystrophia myotonica-protein kinase,ENSG00000104936,1760,19,"Rare Single Gene Mutation, Syndromic",1,ASD core,12,DMPK
DMWD,"DM1 locus, WD repeat containing",ENSG00000185800,1762,19,Rare Single Gene Mutation,2,ASD core,4,DMWD
DMXL2,Dmx-like 2,ENSG00000104093,23312,15,Rare Single Gene Mutation,2,ASD core,8,DMXL2
DNAH10,"Dynein, axonemal, heavy chain 10",ENSG00000197653,196385,12,Rare Single Gene Mutation,2,ASD core,10,DNAH10
DNAH17,dynein axonemal heavy chain 17,ENSG00000187775,8632,17,Rare Single Gene Mutation,2,ASD core,9,DNAH17
DNAH3,dynein axonemal heavy chain 3,ENSG00000158486,55567,16,Rare Single Gene Mutation,2,ASD core,8,DNAH3
DNER,Delta/notch-like EGF repeat containing,ENSG00000187957,92737,2,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,DNER
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,ENSG00000119772,1788,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,29,DNMT3A
CYP11B1,"cytochrome P450, family 11, subfamily B, polypeptide 1",ENSG00000160882,1584,8,Syndromic,2,ASD core,4,CYP11B1
DOCK1,Dedicator of cytokinesis 1,ENSG00000150760,1793,10,Rare Single Gene Mutation,2,ASD core,3,DOCK1
DOCK4,Dedicator of cytokinesis 4,ENSG00000128512,9732,7,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,11,DOCK4
DOCK8,dedicator of cytokinesis 8,ENSG00000107099,81704,9,Rare Single Gene Mutation,2,ASD core,12,DOCK8
DOLK,dolichol kinase,ENSG00000175283,22845,9,"Rare Single Gene Mutation, Syndromic",S,ASD associated,4,DOLK
DPP10,Dipeptidyl-peptidase 10,ENSG00000175497,57628,2,Rare Single Gene Mutation,2,ASD core,13,DPP10
DPP3,dipeptidyl peptidase 3,ENSG00000254986,10072,11,Rare Single Gene Mutation,2,ASD core,4,DPP3
DPP4,Dipeptidyl-peptidase 4,ENSG00000197635,1803,2,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,DPP4
DPP6,dipeptidyl-peptidase 6,ENSG00000130226,1804,7,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,28,DPP6
DPYD,dihydropyrimidine dehydrogenase,ENSG00000188641,1806,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,15,DPYD
DLX2,distal-less homeobox 2,ENSG00000115844,1746,2,Genetic Association,2,ASD core,11,DLX2
DPYSL2,dihydropyrimidinase like 2,ENSG00000092964,1808,8,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,17,DPYSL2
DPYSL3,dihydropyrimidinase like 3,ENSG00000113657,1809,5,Rare Single Gene Mutation,2,ASD core,3,DPYSL3
DRD1,Dopamine receptor D1,ENSG00000184845,1812,5,"Genetic Association, Functional",2,ASD core,4,DRD1
DRD2,Dopamine receptor D2,ENSG00000149295,1813,11,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,DRD2
DRD3,dopamine receptor D3,ENSG00000151577,1814,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,DRD3
DSCAM,Down syndrome cell adhesion molecule,ENSG00000171587,1826,21,"Rare Single Gene Mutation, Genetic Association, Functional",1,ASD core,17,DSCAM
DST,Dystonin,ENSG00000151914,667,6,Rare Single Gene Mutation,2,ASD core,11,DST
DUSP15,dual specificity phosphatase 15,ENSG00000149599,128853,20,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,DUSP15
DVL3,Dishevelled segment polarity protein 3,ENSG00000161202,1857,3,"Rare Single Gene Mutation, Functional",2,ASD core,5,DVL3
DYDC1,DPY30 domain containing 1,ENSG00000170788,143241,10,Rare Single Gene Mutation,2,ASD core,2,DYDC1
DYDC2,DPY30 domain containing 2,ENSG00000133665,84332,10,,2,ASD core,1,DYDC2
DYNC1H1,dynein cytoplasmic 1 heavy chain 1,ENSG00000197102,1778,14,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,30,DYNC1H1
DYRK1A,Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,ENSG00000157540,1859,21,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,73,DYRK1A
EBF3,early B-cell factor 3,ENSG00000108001,253738,10,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,22,EBF3
ECPAS,Ecm29 proteasome adaptor and scaffold,ENSG00000136813,23392,9,"Rare Single Gene Mutation, Functional",2,ASD core,4,ECPAS
EEF1A2,Eukaryotic translation elongation factor 1 alpha 2,ENSG00000101210,1917,20,"Rare Single Gene Mutation, Syndromic",S,ASD associated,17,EEF1A2
EFR3A,EFR3 homolog A (S. cerevisiae),ENSG00000132294,23167,8,Rare Single Gene Mutation,2,ASD core,9,EFR3A
EGR3,early growth response 3,ENSG00000179388,1960,8,Rare Single Gene Mutation,2,ASD core,3,EGR3
EHMT1,Euchromatic histone-lysine N-methyltransferase 1,ENSG00000181090,79813,9,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,39,EHMT1
EIF3G,eukaryotic translation initiation factor 3 subunit G,ENSG00000130811,8666,19,Rare Single Gene Mutation,1,ASD core,5,EIF3G
EIF4E,eukaryotic translation initiation factor 4E,ENSG00000151247,1977,4,"Rare Single Gene Mutation, Genetic Association",2,ASD core,13,EIF4E
EIF4G1,eukaryotic translation initiation factor 4 gamma 1,ENSG00000114867,1981,3,"Rare Single Gene Mutation, Functional",3,ASD associated,4,EIF4G1
ELAVL2,ELAV like neuron-specific RNA binding protein 2,ENSG00000107105,1993,9,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,7,ELAVL2
ELAVL3,ELAV like neuron-specific RNA binding protein 3,ENSG00000196361,1995,19,Rare Single Gene Mutation,1,ASD core,6,ELAVL3
ELP2,elongator acetyltransferase complex subunit 2,ENSG00000134759,55250,18,Syndromic,2,ASD core,6,ELP2
ELP4,Elongator acetyltransferase complex subunit 4,ENSG00000109911,26610,11,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,ELP4
EMSY,"EMSY, BRCA2 interacting transcriptional repressor",ENSG00000158636,56946,11,"Rare Single Gene Mutation, Functional",2,ASD core,5,EMSY
EN2,engrailed homolog 2,ENSG00000164778,2020,7,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,25,EN2
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,ENSG00000197594,5167,6,Rare Single Gene Mutation,3,ASD associated,5,ENPP1
EP300,E1A binding protein p300,ENSG00000100393,2033,22,"Rare Single Gene Mutation, Syndromic",1,ASD core,25,EP300
EP400,E1A binding protein p400,ENSG00000183495,57634,12,"Rare Single Gene Mutation, Functional",2,ASD core,10,EP400
EPC2,Enhancer of polycomb homolog 2 (Drosophila),ENSG00000135999,26122,2,Rare Single Gene Mutation,2,ASD core,6,EPC2
EPHA1,EPH receptor A1,ENSG00000146904,2041,7,Rare Single Gene Mutation,2,ASD core,8,EPHA1
EPHB1,EPH receptor B1,ENSG00000154928,2047,3,Rare Single Gene Mutation,3,ASD associated,10,EPHB1
EPHB2,EPH receptor B2,ENSG00000133216,2048,1,"Rare Single Gene Mutation, Functional",2,ASD core,9,EPHB2
EPPK1,epiplakin 1,ENSG00000261150,83481,8,Rare Single Gene Mutation,2,ASD core,8,EPPK1
ERBIN,erbb2 interacting protein,ENSG00000112851,55914,5,Rare Single Gene Mutation,2,ASD core,9,ERBIN
ERMN,ermin,ENSG00000136541,57471,2,Rare Single Gene Mutation,2,ASD core,1,ERMN
ESR2,estrogen receptor 2 (ER beta),ENSG00000140009,2100,14,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,9,ESR2
ESRRB,estrogen-related receptor beta,ENSG00000119715,2103,14,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,ESRRB
ETFB,"Electron-transfer-flavoprotein, beta polypeptide",ENSG00000105379,2109,19,Rare Single Gene Mutation,2,ASD core,5,ETFB
EXOC3,exocyst complex component 3,ENSG00000180104,11336,5,Rare Single Gene Mutation,2,ASD core,3,EXOC3
EXOC5,exocyst complex component 5,ENSG00000070367,10640,14,Rare Single Gene Mutation,2,ASD core,2,EXOC5
EXOC6,exocyst complex component 6,ENSG00000138190,54536,10,Rare Single Gene Mutation,2,ASD core,3,EXOC6
EXOC6B,exocyst complex component 6B,ENSG00000144036,23233,2,Rare Single Gene Mutation,2,ASD core,5,EXOC6B
EXT1,Exostosin 1,ENSG00000182197,2131,8,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,EXT1
FABP4,fatty acid binding protein 4,ENSG00000170323,2167,8,Rare Single Gene Mutation,3,ASD associated,3,FABP4
FABP5,fatty acid binding protein 5 (psoriasis-associated),ENSG00000164687,2171,8,"Rare Single Gene Mutation, Functional",2,ASD core,8,FABP5
FAM47A,family with sequence similarity 47 member A,ENSG00000185448,158724,X,Rare Single Gene Mutation,2,ASD core,1,FAM47A
FAM98C,family with sequence similarity 98 member C,ENSG00000130244,147965,19,Rare Single Gene Mutation,2,ASD core,3,FAM98C
FAN1,FANCD2/FANCI-associated nuclease 1,ENSG00000198690,22909,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,4,FAN1
FAT1,FAT atypical cadherin 1,ENSG00000083857,2195,4,"Rare Single Gene Mutation, Functional",2,ASD core,13,FAT1
ELOVL2,ELOVL fatty acid elongase 2,ENSG00000197977,54898,6,Genetic Association,2,ASD core,1,ELOVL2
ERG,"ERG, ETS transcription factor",ENSG00000157554,2078,21,Genetic Association,2,ASD core,1,ERG
FBN1,Fibrillin 1,ENSG00000166147,2200,15,Rare Single Gene Mutation,2,ASD core,14,FBN1
FBRSL1,fibrosin like 1,ENSG00000112787,57666,12,"Rare Single Gene Mutation, Syndromic",S,ASD associated,3,FBRSL1
FBXL13,F-box and leucine rich repeat protein 13,ENSG00000161040,222235,7,Rare Single Gene Mutation,3,ASD associated,2,FBXL13
FBXO11,F-box protein 11,ENSG00000138081,80204,2,"Rare Single Gene Mutation, Syndromic",2,ASD core,12,FBXO11
FBXO33,F-box protein 33,ENSG00000165355,254170,14,"Rare Single Gene Mutation, Genetic Association",2,ASD core,4,FBXO33
FBXO40,F-box protein 40,ENSG00000163833,51725,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,FBXO40
FCRL6,Fc receptor like 6,ENSG00000181036,343413,1,Rare Single Gene Mutation,2,ASD core,4,FCRL6
FEZF2,FEZ family zinc finger 2,ENSG00000153266,55079,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,FEZF2
FGA,Fibrinogen alpha chain,ENSG00000171560,2243,4,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,FGA
FGF13,fibroblast growth factor 13,ENSG00000129682,2258,X,Syndromic,3,ASD associated,2,FGF13
FGF14,fibroblast growth factor 14,ENSG00000102466,2259,13,Rare Single Gene Mutation,3,ASD associated,2,FGF14
FGFR1,fibroblast growth factor receptor 1,ENSG00000077782,2260,8,Genetic Association,2,ASD core,1,FGFR1
FHIT,fragile histidine triad gene,ENSG00000189283,2272,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,12,FHIT
FLNA,filamin A,ENSG00000196924,2316,X,"Rare Single Gene Mutation, Functional",3,ASD associated,9,FLNA
FMR1,fragile X mental retardation 1,ENSG00000102081,2332,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,63,FMR1
FOXG1,Forkhead box G1,ENSG00000176165,2290,14,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,55,FOXG1
FOXP1,forkhead box P1,ENSG00000114861,27086,3,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,69,FOXP1
FOXP2,forkhead box P2,ENSG00000128573,93986,7,"Rare Single Gene Mutation, Genetic Association, Functional",1,ASD core,56,FOXP2
FRG1,FSHD region gene 1,ENSG00000109536,2483,4,Rare Single Gene Mutation,2,ASD core,2,FRG1
FRK,fyn-related kinase,ENSG00000111816,2444,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,FRK
FRMPD4,FERM and PDZ domain containing 4,ENSG00000169933,9758,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,8,FRMPD4
FXN,frataxin,ENSG00000165060,2395,9,Rare Single Gene Mutation,3,ASD associated,2,FXN
G3BP2,G3BP stress granule assembly factor 2,ENSG00000138757,9908,4,Rare Single Gene Mutation,2,ASD core,6,G3BP2
GABBR2,gamma-aminobutyric acid type B receptor subunit 2,ENSG00000136928,9568,9,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,14,GABBR2
GABRA3,"Gamma-aminobutyric acid (GABA) A receptor, alpha 3",ENSG00000011677,2556,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,3,GABRA3
GABRA4,"gamma-aminobutyric acid (GABA) A receptor, alpha 4",ENSG00000109158,2557,4,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,9,GABRA4
GABRB2,gamma-aminobutyric acid type A receptor subunit beta2,ENSG00000145864,2561,5,Rare Single Gene Mutation,1,ASD core,4,GABRB2
GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3",ENSG00000166206,2562,15,"Rare Single Gene Mutation, Genetic Association, Functional",1,ASD core,50,GABRB3
GABRG2,gamma-aminobutyric acid type A receptor subunit gamma 2,ENSG00000113327,2566,5,"Rare Single Gene Mutation, Genetic Association",3,ASD associated,9,GABRG2
GABRG3,gamma-aminobutyric acid type A receptor gamma3 subunit,ENSG00000182256,2567,15,"Rare Single Gene Mutation, Genetic Association",2,ASD core,13,GABRG3
GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,ENSG00000164574,55568,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,GALNT10
GALNT13,polypeptide N-acetylgalactosaminyltransferase 13,ENSG00000144278,114805,2,Rare Single Gene Mutation,2,ASD core,5,GALNT13
GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,ENSG00000158089,79623,2,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,GALNT14
GALNT2,polypeptide N-acetylgalactosaminyltransferase 2,ENSG00000143641,2590,1,"Rare Single Gene Mutation, Syndromic",S,ASD associated,5,GALNT2
GALNT8,polypeptide N-acetylgalactosaminyltransferase 8,ENSG00000130035,26290,12,Rare Single Gene Mutation,2,ASD core,3,GALNT8
GAS2,Growth arrest-specific 2,ENSG00000148935,2620,11,Genetic Association,2,ASD core,1,GAS2
GATM,Glycine amidinotransferase (L-arginine:glycine amidinotransferase),ENSG00000171766,2628,15,Syndromic,S,ASD associated,2,GATM
GBE1,"1,4-alpha-glucan branching enzyme 1",ENSG00000114480,2632,3,Rare Single Gene Mutation,2,ASD core,4,GBE1
GDA,guanine deaminase,ENSG00000119125,9615,9,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,GDA
GFAP,glial fibrillary acidic protein,ENSG00000131095,2670,17,Rare Single Gene Mutation,1,ASD core,1,GFAP
GGNBP2,gametogenetin binding protein 2,ENSG00000278311,79893,17,Rare Single Gene Mutation,2,ASD core,3,GGNBP2
GIGYF1,GRB10 interacting GYF protein 1,ENSG00000146830,64599,7,Rare Single Gene Mutation,1,ASD core,20,GIGYF1
GIGYF2,GRB10 interacting GYF protein 2,ENSG00000204120,26058,2,Rare Single Gene Mutation,1,ASD core,9,GIGYF2
GLIS1,GLIS family zinc finger 1,ENSG00000174332,148979,1,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,GLIS1
GLO1,glyoxalase I,ENSG00000124767,2739,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,10,GLO1
GLRA2,"glycine receptor, alpha 2",ENSG00000101958,2742,X,"Rare Single Gene Mutation, Functional",2,ASD core,17,GLRA2
GNAI1,G protein subunit alpha i1,ENSG00000127955,2770,7,"Rare Single Gene Mutation, Syndromic",1,ASD core,4,GNAI1
GNAS,GNAS complex locus,ENSG00000087460,2778,20,Rare Single Gene Mutation,2,ASD core,9,GNAS
GNB1L,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like",ENSG00000185838,54584,22,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,GNB1L
GNB2,G protein subunit beta 2,ENSG00000172354,2783,7,"Rare Single Gene Mutation, Syndromic",S,ASD associated,6,GNB2
GPC4,glypican 4,ENSG00000076716,2239,X,Rare Single Gene Mutation,2,ASD core,2,GPC4
GPC5,glypican 5,ENSG00000179399,2262,13,Rare Single Gene Mutation,3,ASD associated,9,GPC5
GPC6,glypican 6,ENSG00000183098,10082,13,"Rare Single Gene Mutation, Genetic Association",2,ASD core,8,GPC6
GPD2,glycerol-3-phosphate dehydrogenase 2,ENSG00000115159,2820,2,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,GPD2
GPHN,Gephyrin,ENSG00000171723,10243,14,Rare Single Gene Mutation,2,ASD core,10,GPHN
GPR37,G protein-coupled receptor 37,ENSG00000170775,2861,7,Rare Single Gene Mutation,2,ASD core,3,GPR37
GPR85,G protein-coupled receptor 85,ENSG00000164604,54329,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,GPR85
GPX1,glutathione peroxidase 1,ENSG00000233276,2876,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,GPX1
GRB10,growth factor receptor bound protein 10,ENSG00000106070,2887,7,"Rare Single Gene Mutation, Functional",3,ASD associated,11,GRB10
GRIA1,glutamate ionotropic receptor AMPA type subunit 1,ENSG00000155511,2890,5,"Rare Single Gene Mutation, Syndromic",2,ASD core,12,GRIA1
GRIA2,glutamate ionotropic receptor AMPA type subunit 2,ENSG00000120251,2891,4,Rare Single Gene Mutation,1,ASD core,12,GRIA2
GRIA3,glutamate ionotropic receptor AMPA type subunit 3,ENSG00000125675,2892,X,"Rare Single Gene Mutation, Syndromic, Functional",S,ASD associated,15,GRIA3
